service_id,date,exception_type
308055,20240908,1
308749,20240908,1
341046,20240909,1
308746,20240909,1
341252,20240909,1
340640,20240909,1
308052,20240909,1
33610,20240909,1
34010,20240909,1
65110,20240909,1
336110,20240909,1
341510,20240909,1
336010,20240910,1
340946,20240910,1
308746,20240910,1
308052,20240910,1
340540,20240910,1
65110,20240910,1
341352,20240910,1
33610,20240910,1
34010,20240910,1
341610,20240910,1
341352,20240911,1
340540,20240911,1
341510,20240911,1
336010,20240911,1
65010,20240911,1
34010,20240911,1
33710,20240911,1
308846,20240911,1
340946,20240911,1
308152,20240911,1
341352,20240912,1
308152,20240912,1
340540,20240912,1
340946,20240912,1
308846,20240912,1
341510,20240912,1
336010,20240912,1
65110,20240912,1
34010,20240912,1
33610,20240912,1
340946,20240913,1
340540,20240913,1
308152,20240913,1
308846,20240913,1
341352,20240913,1
367122,20240913,1
33610,20240913,1
34110,20240913,1
65010,20240913,1
336010,20240913,1
341510,20240913,1
367124,20240914,1
367125,20240915,1
308055,20240915,1
308749,20240915,1
341252,20240916,1
308052,20240916,1
33610,20240916,1
34010,20240916,1
308746,20240916,1
336110,20240916,1
340640,20240916,1
341510,20240916,1
65110,20240916,1
341046,20240916,1
340946,20240917,1
341610,20240917,1
308746,20240917,1
33610,20240917,1
34010,20240917,1
336010,20240917,1
308052,20240917,1
341352,20240917,1
366922,20240917,1
340540,20240917,1
65110,20240917,1
367122,20240918,1
33710,20240918,1
340540,20240918,1
341352,20240918,1
34010,20240918,1
336010,20240918,1
341510,20240918,1
340946,20240918,1
308846,20240918,1
308152,20240918,1
65010,20240918,1
308846,20240919,1
308152,20240919,1
33610,20240919,1
34010,20240919,1
65110,20240919,1
341510,20240919,1
341352,20240919,1
340540,20240919,1
340946,20240919,1
336010,20240919,1
340540,20240920,1
367122,20240920,1
336010,20240920,1
65010,20240920,1
341510,20240920,1
308846,20240920,1
341352,20240920,1
308152,20240920,1
34110,20240920,1
340946,20240920,1
33610,20240920,1
308749,20240922,1
308055,20240922,1
340640,20240923,1
33610,20240923,1
34010,20240923,1
65110,20240923,1
367122,20240923,1
336110,20240923,1
341510,20240923,1
341252,20240923,1
308746,20240923,1
341046,20240923,1
308052,20240923,1
308052,20240924,1
367122,20240924,1
308746,20240924,1
340946,20240924,1
341352,20240924,1
340540,20240924,1
65110,20240924,1
336010,20240924,1
33610,20240924,1
34010,20240924,1
341610,20240924,1
65010,20240925,1
340946,20240925,1
308846,20240925,1
341352,20240925,1
340540,20240925,1
34010,20240925,1
33710,20240925,1
308152,20240925,1
336010,20240925,1
341510,20240925,1
340540,20240926,1
34010,20240926,1
340946,20240926,1
308846,20240926,1
33610,20240926,1
308152,20240926,1
65110,20240926,1
341352,20240926,1
341510,20240926,1
336010,20240926,1
367122,20240926,1
308152,20240927,1
308846,20240927,1
341352,20240927,1
340540,20240927,1
34110,20240927,1
367122,20240927,1
340946,20240927,1
341510,20240927,1
336010,20240927,1
65010,20240927,1
33610,20240927,1
367024,20240928,1
308055,20240929,1
308749,20240929,1
341510,20240930,1
336110,20240930,1
308052,20240930,1
65110,20240930,1
34010,20240930,1
33610,20240930,1
340640,20240930,1
341046,20240930,1
341252,20240930,1
308746,20240930,1
340540,20241001,1
367122,20241001,1
65110,20241001,1
336010,20241001,1
341610,20241001,1
308746,20241001,1
308052,20241001,1
34010,20241001,1
33610,20241001,1
341352,20241001,1
340946,20241001,1
367122,20241002,1
308152,20241002,1
341352,20241002,1
308846,20241002,1
340540,20241002,1
340946,20241002,1
33710,20241002,1
34010,20241002,1
65010,20241002,1
336010,20241002,1
341510,20241002,1
308846,20241003,1
33610,20241003,1
336010,20241003,1
308152,20241003,1
